permutation	qualifying_units	median_variance
948	77	967.0
949	75	967.0
950	71	683.675
951	70	802.025
952	73	683.675
953	76	979.2916666666667
954	80	1032.9583333333333
955	73	1073.5833333333333
956	75	967.0
957	73	1132.3333333333333
958	74	576.5166666666667
959	80	618.6666666666667
960	80	1054.25
961	78	672.3375
962	79	1132.3333333333333
963	80	979.2916666666667
964	80	1131.9166666666665
965	81	967.0
966	75	576.3333333333334
967	78	895.9583333333333
968	76	979.2916666666667
969	81	1014.6666666666666
970	77	683.675
971	85	661.0
972	74	1138.3916666666667
973	80	753.75
974	75	945.5625
975	71	992.25
976	74	1071.625
977	83	1561.3333333333333
978	77	967.0
979	84	714.5041666666666
980	74	1195.2666666666667
981	78	577.0166666666667
982	80	825.3375
983	75	991.5833333333334
984	80	1223.9333333333334
985	76	979.2916666666667
986	80	1048.7916666666665
987	77	1069.6666666666667
988	75	967.0
989	71	920.375
990	76	979.2916666666667
991	77	1073.5833333333333
992	77	683.675
993	76	1032.5833333333333
994	77	1020.9166666666666
995	73	1170.2
996	79	1249.2
997	70	943.6875
998	78	1009.2916666666667
999	72	979.2916666666667
1000	71	967.0
